"MASC","mu_str_raw","pval_raw","mu_str_cor","pval_cor"
"Albarracin_Priming_SAT",".127 (.053)",".016",".158 (.066)",".016"
"Alter_Analytic_Processing","-.155 (.040)","<.001","-.174 (.044)","<.001"
"Carter_Flag_Priming",".018 (.029)",".538",".026 (.036)",".465"
"Caruso_Currency_Priming","-.019 (.026)",".457","-.022 (.029)",".459"
"Finkel_Exit_Forgiveness","-.050 (.049)",".314","-.056 (.056)",".316"
"Finkel_Neglect_Forgiveness","-.051 (.055)",".355","-.059 (.063)",".347"
"Giessner_Vertical_Position",".026 (.023)",".248",".027 (.025)",".267"
"Hart_Criminal_Intentionality",".170 (.078)",".030",".184 (.085)",".030"
"Hart_Detailed_Processing",".082 (.058)",".157",".096 (.067)",".147"
"Hart_Intention_Attribution","-.011 (.058)",".856","-.021 (.080)",".795"
"Husnu_Imagined_Contact",".116 (.032)","<.001",".129 (.035)","<.001"
"Nosek_Explicit_Art",".360 (.047)","<.001",".383 (.050)","<.001"
"Nosek_Explicit_Math",".401 (.029)","<.001",".415 (.030)","<.001"
"PSACR001_anxiety_int",".251 (.022)","<.001",".263 (.023)","<.001"
"PSACR001_behav_int",".035 (.020)",".079",".040 (.023)",".088"
"PSACR002_neg_photo","-.663 (.040)","<.001","-.747 (.047)","<.001"
"Shnabel_Willingness_Reconcile_Rev","-.533 (.101)","<.001","-.582 (.109)","<.001"
"Shnabel_Willingness_Reconcile_RPP","-.585 (.062)","<.001","-.655 (.067)","<.001"
"Srull_Behaviour_Hostility","-.051 (.029)",".079","-.062 (.034)",".071"
"Srull_Ronald_Hostility",".063 (.029)",".028",".074 (.033)",".026"
"Tversky_Directionality_Similarity1","-.111 (.034)",".001","-.121 (.037)","<.001"
"Zhong_Desirability_Cleaning","-.031 (.024)",".194","-.042 (.036)",".240"
